نام,آدرس,نوع پست,ظرفیت,فیدر,کد شناسایی
مطهر,مطهر,عمومى,315,شهید مقدم - فیدر دیانتی,E3101@00000SP04391
امداد,بلوار  نماز جنب کمیته امداد,عمومى,250,قلی پور - فیدر فرهنگیان,E3101@00000SP04395
ولیعصر 2,بلوار ولیعصر-انتهای کوچه ولیعصر 2,عمومى,200,شهید مقدم - فیدر رینگ شهر,E3101@00000SP04396
نیلوفر,کفترود,عمومى,200,توحید - فیدر پیربازار,E3101@00000SP04397
تاکسیرانی2,بلوار اردشیری - جنب شهر فرش,عمومى,200,قلی پور - فیدر فرهنگیان,E3101@00000SP04398
بن بست زندی,گلسار -انتهای خیابان 100,عمومى,315,قلی پور - فیدر فرهنگیان,E3101@00000SP04399
نظام مهندسی - کوچه 4,کوچه نظام مهندسی - کوچه 4,عمومى,315,شهید مقدم - فیدر خرمشهر,E3101@00000SP04400
جنب کوچه وصال,کمربندی خرمشهر - قبل از پمپ بنزین,عمومى,315,شهید مقدم - فیدر خرمشهر,E3101@00000SP04401
بالاتر از میدان ماهی,پیر بازار - انتهای اسلام آباد گالشخیل ,عمومى,100,توحید - فیدر پیربازار,E3101@00000SP04402
زمینهای استانداری,کوی عرفان - زمینهای استانداری,عمومى,315,شهید مقدم - فیدر رینگ شهر,E3101@00000SP04403
بلوار سمیه 106,بلوار سمیه - روبروی بیمارستان گلسار,عمومی و اختصاصی,315,شهید مقدم - فیدر گلسار 6,E3101@00000SP04405
خانم بازارگرد,روستای سوقه,اختصاصی,160,پوشش - فیدر خمام,E3101@00000SP04406
فخب کوچه هشتم,فخب انتهای کوچه هشتم,عمومى,315,قلی پور - فیدر کوی حسینی,E3101@00000SP04407
وسط گیلانه شرقی ,خیابان 179 - گیلانه شرقی,عمومى,315,توحید - فیدر گلایل,E3101@00000SP04408
روبروی بیمارستان گلسار,بلوار سمیه - روبروی بیمارستان گلسار,عمومى,500,شهید مقدم - فیدر گلسار 6,E3101@00000SP04409
کوی طالقانی کوچه پنجم,کمربندی خرمشهر - کوی طالقانی ,عمومى,315,شهید مقدم - فیدر پردیسان,E3101@00000SP04410
دکتر ظهیری,گلسار  - بلوار سمیه - انتهای خیابان 140,عمومی و اختصاصی,315,شهید مقدم - فیدر گلسار 6,E3101@00000SP04411
زندی 167,گلسار - بلوار گیلان - خیابان 167,عمومى,200,توحید - فیدر بلوار گیلان,E3101@00000SP04412
مدرسه اصغرنیا,میدان فرزانه به امام علی - بلوار جدیدالاحداث,عمومى,315,شهید مقدم - فیدر رینگ شهر,E3101@00000SP04413
آبرون,بلوار جدید الاحداث رزانه به امام علی,عمومى,315,شهید مقدم - فیدر رینگ شهر,E3101@00000SP04414
امینیان,بتدای خیابان 171 از بلوار گیلان,عمومى,200,توحید - فیدر گلایل,E3101@00000SP04415
نیلا جعفری,گلسار - خیابان 172,اختصاصی,100,توحید - فیدر بلوار گیلان,E3101@00000SP04416
محمد صادق موقتی مقدم,بلوار دیلمان - میر ابوالقاسم - دهسرا,اختصاصی,315,شهید مقدم - فیدر رینگ شهر,E3101@00000SP04417
شهرک امام علی-گل شقایق,شهرک امام علی-گل شقایق,عمومى,315,شهید مقدم - فیدر دیلمان,E3101@00000SP04421
انتهای کوچه احمدی,بلوار قلی پور - کوچه شهدا - کوچه احمدی,عمومى,400,قلی پور - فیدر شهید رجایی,E3101@00000SP04422
نبش کوچه بهمن,بلوار اصفهان نبش کوچه بهمن,عمومى,315,شهید مقدم - فیدر گلسار 7,E3101@00000SP04424
عرفان 8,خیابان عرفان - نبش کوچه 8,عمومى,315,پوشش - فیدر هلال احمر,E3101@00000SP04425
بن بست ستاره,امین الضرب-نبش بن بست ستاره,عمومی و اختصاصی,200,معلم - فیدر انصاری,E3101@00000SP04427
کارخانه برنجکوبی همتی,کفترود - جنب کوچه وهاج,عمومى,315,توحید - فیدر پیربازار,E3101@00000SP04428
بوسار-ین بست سوم,خیابان سعدی -بوسار - بن بست سوم,عمومى,315,قلی پور - فیدر بوسار,E3101@00000SP04429
شهرک بهشتی گلستان2,شهرک بهشتی گلستان2,عمومى,200,شهید مقدم - فیدر گلسار 6,E3101@00000SP04431
امانی نژاد,کوچه نظام مهندسی - انتهای کوچه چهارم,عمومى,250,شهید مقدم - فیدر خرمشهر,E3101@00000SP04432
کوچه ملماسی,فرهنگ و دین,عمومى,250,معلم - فیدر انصاری,E3101@00000SP04433
پستک کوچه 13,پستک,عمومى,200,,E3101@00000SP04434
ترانس دوم کوچه 15,استاد معین - کوچه پروفسور رضا,عمومى,315,توحید - فیدر پستک,E3101@00000SP04435
ترانس اول کوچه 15,استاد معین - کوچه پروفسور رضا,عمومى,200,توحید - فیدر پستک,E3101@00000SP04436
خیابان هدایت تقاطع 161,گلسار - خیابان هدایت تقاطع 161,عمومی و اختصاصی,315,قلی پور - فیدر توحید,E3101@00000SP04437
شیرینی سهیل,جاده پیربازار بعد از کوچه بوستان 4,اختصاصی,100,قلی پور - فیدر کوی حسینی,E3101@00000SP04438
امین رضا زاده,بلوار قلی پور - بین کوچه های پروین اعتصامی,اختصاصی,315,قلی پور - فیدر شهید رجایی,E3101@00000SP04439
داخل 104(سعید فلاحتی),گلسار داخل 104,عمومى,250,شهید مقدم - فیدر گلسار 6,E3101@00000SP04440
پیمان هدایتی,نواب,عمومی و اختصاصی,315,قلی پور - فیدر فرهنگیان,E3101@00000SP04441
علیرضا تربیتی,بلوار دیلمان - روبروی کوچه بوستان,عمومى,200,شهید مقدم - فیدر گلسار 6,E3101@00000SP04442
بوستان 19,.,عمومى,315,توحید - فیدر استاد معین,E3101@00000SP04443
یاس 10,کوی حسینی  - کوچه یاس 10 ,عمومى,315,قلی پور - فیدر کوی حسینی,E3101@00000SP04444
مهدی صادقی پور,گلسار - خیابان نواب  -پشت پمپ بنزین - کوچه ترابری,عمومى,315,قلی پور - فیدر نواب,E3101@00000SP04445
کوچه آفتاب,جاده انزلی,عمومى,200,پوشش - فیدر هلال احمر,E3101@00000SP04446
کوچه خانجانی,جاده انزلی,عمومى,200,شهید مقدم - فیدر رینگ شهر,E3101@00000SP04447
کوچه 27,پستک,عمومى,200,شهید مقدم - فیدر رینگ شهر,E3101@00000SP04448
کوچه میرزاده 2,پستک - کوچه میرزاده,عمومى,315,شهید مقدم - فیدر رینگ شهر,E3101@00000SP04449
سه راه مزار 2,دیانتی,عمومى,250,شهید مقدم - فیدر پردیسان,E3101@00000SP04450
کوچه یاس(ایرانسل),دیانتی,عمومى,200,شهید مقدم - فیدر پردیسان,E3101@00000SP04451
روبروی 165,بلوار گیلان - روبروی تربیت معلم - خیابان 165,عمومى,315,توحید - فیدر بلوار گیلان,E3101@00000SP04452
سرمایه گذاری مسکن گیلان,بلوار دیلمان - خ میر ابوالقاسم - انتهای ده متری سبز,اختصاصی,200,شهید مقدم - فیدر رینگ شهر,E3101@00000SP04453
کوچه 8,بلوار قلی پور داخل کوچه شهداء,عمومى,500,قلی پور - فیدر کوی حسینی,E3101@NZ000SP00143
استقلال,خ شهدا خ عباسی نژاد کوچه آزادی مقابل مدرسه آزادی,عمومى,500,شهید مقدم - فیدر دیانتی,E3101@NZ000SP00194
علیزاده,خ شهدا خ 25متری شمالی خ گلستان,عمومى,500,شهید مقدم - فیدر دیانتی,E3101@NZ000SP00195
ابتدای استاد معین خیابان 165,بلوارگیلان-ابتدای خ استاد معین خیابان 165,عمومى,500,,E3101@NZ000SP00270
20متری دافساری تقاطع  بابایی,20متری دافساری تقاطع  بابایی,عمومى,500,شهید مقدم - فیدر دیانتی,E3101@NZ000SP00479
شعاع2,بلوار انصاری خیابان عاطفی شعاعی 2,عمومى,400,معلم - فیدر انصاری,E3101@NZ000SP00493
جلوی مجتمع آزادگان,خیابان سعدی جلوی مجتمع آزادگان,عمومى,500,قلی پور - فیدر مجتمع آزادگان,E3102@00000SP02564
مرادیان,بلوار قلی پور انتهای کوچه جوادی,عمومى,400,قلی پور - فیدر یادگار امام,E3102@NZ000SP00527
استخر کیمیا مهر,گالش خیل استخر کیمیا مهر,اختصاصی,125,توحید - فیدر پیربازار,E3110@00000SP01131
